threshold,precision,recall,f1
0,0.53309797,1,0.695451929
0.05,0.529588766,0.874172185,0.659587758
0.1,0.530715005,0.872516556,0.659987477
0.15,0.538865546,0.849337748,0.659383033
0.2,0.538865546,0.849337748,0.659383033
0.25,0.544332211,0.802980132,0.648829431
0.3,0.538555692,0.728476821,0.619282196
0.35,0.538555692,0.728476821,0.619282196
0.4,0.538555692,0.728476821,0.619282196
0.45,0.542553191,0.675496689,0.601769912
0.5,0.541944075,0.67384106,0.600738007
0.55,0.540212443,0.589403974,0.563737134
0.6,0.547619048,0.495033113,0.52
0.65,0.547619048,0.495033113,0.52
0.7,0.568123393,0.36589404,0.445115811
0.75,0.568123393,0.36589404,0.445115811
0.8,0.563253012,0.309602649,0.39957265
0.85,0.583892617,0.144039735,0.231075697
0.9,0.583892617,0.144039735,0.231075697
0.95,0.666666667,0.033112583,0.063091483
1,0.666666667,0.033112583,0.063091483
