threshold,precision,recall,f1
0.0,0.498371335504886,1.0,0.6652173913043479
0.05,0.4925266903914591,0.7538126361655774,0.595781317262161
0.1,0.49318018664752333,0.7483660130718954,0.5945478147987884
0.15000000000000002,0.5023183925811437,0.7080610021786492,0.5877034358047016
0.2,0.5023183925811437,0.7080610021786492,0.5877034358047016
0.25,0.5226689478186484,0.6655773420479303,0.5855294681360804
0.30000000000000004,0.5360623781676414,0.599128540305011,0.565843621399177
0.35000000000000003,0.535819430814524,0.5947712418300654,0.5637583892617449
0.4,0.535819430814524,0.5947712418300654,0.5637583892617449
0.45,0.5452538631346578,0.5381263616557734,0.5416666666666667
0.5,0.5463687150837989,0.5326797385620915,0.5394373965802537
0.55,0.5727636849132176,0.4673202614379085,0.5146970605878824
0.6000000000000001,0.5867768595041323,0.3867102396514161,0.4661851608667104
0.65,0.5867768595041323,0.3867102396514161,0.4661851608667104
0.7000000000000001,0.6452380952380953,0.29520697167755994,0.40508221225710017
0.75,0.6452380952380953,0.29520697167755994,0.40508221225710017
0.8,0.6533333333333333,0.2668845315904139,0.37896365042536734
0.8500000000000001,0.715,0.15577342047930284,0.2558139534883721
0.9,0.715,0.15577342047930284,0.2558139534883721
0.9500000000000001,0.8202247191011236,0.07952069716775599,0.14498510427010924
1.0,0.8202247191011236,0.07952069716775599,0.14498510427010924
