threshold,precision,recall,f1
0.0,0.5330979699911739,1.0,0.6954519286125503
0.05,0.540090771558245,0.5910596026490066,0.5644268774703557
0.1,0.5409090909090909,0.5910596026490066,0.564873417721519
0.15000000000000002,0.5477707006369427,0.5695364238410596,0.5584415584415584
0.2,0.5477707006369427,0.5695364238410596,0.5584415584415584
0.25,0.5523156089193825,0.5331125827814569,0.5425442291491154
0.30000000000000004,0.5671077504725898,0.4966887417218543,0.529567519858782
0.35000000000000003,0.5662878787878788,0.49503311258278143,0.5282685512367491
0.4,0.5662878787878788,0.49503311258278143,0.5282685512367491
0.45,0.5900621118012422,0.4718543046357616,0.5243790248390064
0.5,0.5883575883575883,0.4685430463576159,0.5216589861751152
0.55,0.6109785202863962,0.423841059602649,0.5004887585532747
0.6000000000000001,0.6149425287356322,0.3543046357615894,0.4495798319327731
0.65,0.6149425287356322,0.3543046357615894,0.4495798319327731
0.7000000000000001,0.644,0.26655629139072845,0.3770491803278688
0.75,0.644,0.26655629139072845,0.3770491803278688
0.8,0.6473214285714286,0.24006622516556292,0.3502415458937198
0.8500000000000001,0.6440677966101694,0.12582781456953643,0.21052631578947367
0.9,0.6440677966101694,0.12582781456953643,0.21052631578947367
0.9500000000000001,0.7222222222222222,0.04304635761589404,0.08125
1.0,0.7222222222222222,0.04304635761589404,0.08125
