threshold,precision,recall,f1
0.0,0.498371335504886,1.0,0.6652173913043479
0.05,0.5016160310277957,0.8453159041394336,0.6296146044624746
0.1,0.5032552083333334,0.8420479302832244,0.6299918500407499
0.15000000000000002,0.5156675749318801,0.8246187363834423,0.6345347862531434
0.2,0.5156675749318801,0.8246187363834423,0.6345347862531434
0.25,0.5296269202633505,0.7886710239651417,0.6336980306345733
0.30000000000000004,0.5449438202247191,0.7396514161220044,0.6275415896487986
0.35000000000000003,0.5447941888619855,0.7352941176470589,0.6258692628650904
0.4,0.5447941888619855,0.7352941176470589,0.6258692628650904
0.45,0.5627208480565371,0.6938997821350763,0.6214634146341464
0.5,0.5631672597864769,0.6895424836601307,0.6199804113614104
0.55,0.5874620829120324,0.6328976034858388,0.6093340325117986
0.6000000000000001,0.5995115995115995,0.5348583877995643,0.5653425446171559
0.65,0.5995115995115995,0.5348583877995643,0.5653425446171559
0.7000000000000001,0.6399317406143344,0.4084967320261438,0.4986702127659574
0.75,0.6399317406143344,0.4084967320261438,0.4986702127659574
0.8,0.6487025948103793,0.3540305010893246,0.4580690627202255
0.8500000000000001,0.6666666666666666,0.16775599128540306,0.268059181897302
0.9,0.6666666666666666,0.16775599128540306,0.268059181897302
0.9500000000000001,0.7346938775510204,0.0392156862745098,0.07445708376421924
1.0,0.7346938775510204,0.0392156862745098,0.07445708376421924
