threshold,precision,recall,f1
0,0.538829152,1,0.700310559
0.05,0.542424242,0.992239468,0.701410658
0.1,0.542424242,0.992239468,0.701410658
0.15,0.542507645,0.983370288,0.699251084
0.2,0.542507645,0.983370288,0.699251084
0.25,0.54109589,0.963414634,0.692982456
0.3,0.54313099,0.942350333,0.689096068
0.35,0.54313099,0.942350333,0.689096068
0.4,0.54313099,0.942350333,0.689096068
0.45,0.542248836,0.903547672,0.677754678
0.5,0.542666667,0.902439024,0.677768526
0.55,0.543385491,0.847006652,0.662045061
0.6,0.547049442,0.760532151,0.636363636
0.65,0.547049442,0.760532151,0.636363636
0.7,0.548611111,0.61308204,0.579057592
0.75,0.548611111,0.61308204,0.579057592
0.8,0.544733862,0.533259424,0.538935574
0.85,0.578059072,0.303769401,0.398255814
0.9,0.576271186,0.301552106,0.395924309
0.95,0.552845528,0.075388027,0.132682927
1,0.552845528,0.075388027,0.132682927
,0.547788527,0.734822088,0.586133189
