単語, スコア
オードリー, 30.579320
トトロ, 25.751007
子供, 25.030456
おもちゃ, 24.141569
スピルバーグ, 24.141569
Ｄ, 22.532131
感動, 21.043822
アニメ, 16.493233
友達, 16.094379
頃, 15.942385
宮崎, 14.484941
人生, 14.447674
当時, 13.862944
ディズニー, 13.243701
少年, 13.243701
思い出, 13.243701
ペック, 12.875503
キング, 12.875503
とき, 12.476649
メイ, 11.266065
ＣＧ, 10.995489
CG, 10.835755
３, 10.727338
冒険, 10.079198
回, 10.079198
音楽, 9.704061
グレゴリー, 9.656627
ヘプバーン, 9.656627
もの, 8.916874
技術, 8.427810
ヒット, 8.427810
自転, 8.427810
現在, 8.427810
シリーズ, 8.427810
名作, 8.317766
アクション, 8.246617
最高, 8.173210
人, 8.173210
ET, 8.047190
仲間, 8.047190
007, 8.047190
パンドラ, 8.047190
大人, 7.846849
涙, 7.624619
本作, 7.624619
作品, 7.480597
友情, 7.330326
自然, 7.223837
D, 7.223837
空, 7.223837
ファンタジー, 7.223837
体験, 7.223837
動き, 7.223837
前作, 7.223837
度, 7.151559
何, 7.151559
気, 7.151559
俳優, 6.931472
恋, 6.437752
王女, 6.437752
主演, 6.437752
ＥＴ, 6.437752
１２, 6.437752
旅, 6.437752
夏, 6.437752
原作, 6.437752
リバー, 6.437752
レース, 6.437752
スター, 6.437752
ウォーズ, 6.437752
さつき, 6.437752
サツキ, 6.437752
カジノ, 6.437752
年, 6.420149
日本, 6.414035
小学, 6.414035
それぞれ, 6.414035
わけ, 6.019864
Ｅ, 6.019864
元気, 6.019864
賞, 6.019864
最近, 5.619082
アメリカ, 5.545177
テレビ, 5.545177
3, 5.545177
後, 5.545177
曲, 5.545177
雰囲気, 5.545177
キャラ, 5.497744
話題, 5.497744
絵, 5.497744
二, 5.497744
主人, 5.497744
前, 5.497744
時, 5.355445
気持ち, 5.108256
個人, 5.108256
物語, 5.108256
映像, 4.909158
表情, 4.852030
１, 4.852030
表現, 4.852030
一緒, 4.852030
あと, 4.852030
評価, 4.852030
安心, 4.828314
唐沢, 4.828314
ピクサー, 4.828314
二人, 4.828314
ワイラー, 4.828314
ブーム, 4.828314
チャ, 4.828314
ジョーズ, 4.828314
共感, 4.828314
死体, 4.828314
言葉, 4.828314
青春, 4.828314
ダース, 4.828314
キャメロン, 4.828314
情報, 4.828314
目, 4.828314
ナヴィ, 4.828314
体感, 4.828314
レリゴー, 4.828314
まま, 4.828314
オラフ, 4.828314
声優, 4.815891
版, 4.815891
立体, 4.815891
日, 4.815891
一瞬, 4.815891
中学, 4.815891
ベン, 4.815891
主題, 4.815891
間違い, 4.815891
迫力, 4.815891
鑑賞, 4.815891
中, 4.636774
他, 4.597431
登場, 4.581454
吹き替え, 4.581454
成長, 4.581454
満点, 4.581454
家族, 4.581454
感情, 4.581454
みんな, 4.581454
ひと, 4.581454
４, 4.581454
画面, 4.581454
時代, 4.462871
心, 4.280099
歌, 4.158883
リアル, 4.158883
キャラクター, 4.158883
話, 4.158883
意味, 4.158883
理解, 4.158883
全て, 4.158883
途中, 4.158883
昔, 4.158883
事, 4.086605
一, 4.016584
期待, 4.016584
魅力, 3.923424
脚本, 3.665163
２, 3.665163
実, 3.665163
部分, 3.665163
学校, 3.665163
先, 3.665163
自身, 3.665163
風, 3.665163
以前, 3.665163
うち, 3.665163
不思議, 3.665163
分, 3.665163
舞台, 3.611918
観客, 3.611918
傑作, 3.611918
すべて, 3.611918
笑い, 3.611918
あり, 3.611918
覚え, 3.611918
奴, 3.611918
画, 3.611918
８, 3.611918
多く, 3.611918
人々, 3.611918
歳, 3.611918
デザイン, 3.611918
タイム, 3.611918
点数, 3.611918
生き物, 3.611918
胸, 3.611918
高校, 3.611918
別, 3.611918
記憶, 3.611918
2, 3.611918
キャスティング, 3.611918
描写, 3.611918
現実, 3.611918
バス, 3.611918
上映, 3.611918
高揚, 3.611918
水, 3.611918
完成, 3.611918
自分, 3.582258
笑, 3.575779
劇場, 3.575779
以上, 3.575779
世界, 3.566749
監督, 3.566749
夢, 3.465736
もん, 3.465736
姿, 3.465736
ラスト, 3.465736
1, 3.465736
演出, 3.465736
スケール, 3.218876
バズ, 3.218876
ヒーロー, 3.218876
芸能, 3.218876
寿明, 3.218876
トイ, 3.218876
とこ, 3.218876
ップバーン, 3.218876
ラブ, 3.218876
ヘップバーン, 3.218876
同時, 3.218876
女優, 3.218876
粋, 3.218876
勢い, 3.218876
ローマ, 3.218876
BMX, 3.218876
宇宙, 3.218876
未知, 3.218876
幸運, 3.218876
ジョン, 3.218876
ウィリアムズ, 3.218876
T, 3.218876
激突, 3.218876
ＳＦ, 3.218876
地球, 3.218876
ごっこ, 3.218876
シルエット, 3.218876
クリス, 3.218876
フェニックス, 3.218876
親友, 3.218876
何十, 3.218876
スティーブン, 3.218876
テディ, 3.218876
道, 3.218876
Ｅｐ, 3.218876
部, 3.218876
クリーチャー, 3.218876
エピソード, 3.218876
陰, 3.218876
ベイダー, 3.218876
ナタリー, 3.218876
ポートマン, 3.218876
ジブリ, 3.218876
傘, 3.218876
情景, 3.218876
ころ, 3.218876
都会, 3.218876
田舎, 3.218876
ナウシカ, 3.218876
ラピュタ, 3.218876
ボンド, 3.218876
派手, 3.218876
次, 3.218876
ロワイヤル, 3.218876
奥行き, 3.218876
東京, 3.218876
釘付け, 3.218876
アバター, 3.218876
興味, 3.218876
量, 3.218876
雪, 3.218876
愛娘, 3.218876
必要, 3.218876
展開, 3.218876
神田, 3.218876
歌声, 3.218876
松, 3.218876
反応, 3.218876
公開, 3.210074
内容, 3.064954
自体, 3.064954
ファン, 3.064954
出来, 3.064954
印象, 3.064954
子ども, 3.064954
ため, 2.900866
本当, 2.853400
最初, 2.853400
手, 2.772589
以外, 2.772589
レベル, 2.772589
絶対, 2.772589
人物, 2.748872
ちなみ, 2.748872
普通, 2.748872
効果, 2.748872
人間, 2.748872
イメージ, 2.748872
問題, 2.748872
人気, 2.748872
憧れ, 2.748872
初, 2.748872
少女, 2.748872
作り, 2.748872
代表, 2.748872
設定, 2.748872
理由, 2.748872
実感, 2.748872
移入, 2.748872
全体, 2.748872
ほう, 2.748872
お陰, 2.748872
おかげ, 2.748872
１０, 2.748872
なし, 2.748872
圧倒, 2.748872
文句, 2.554128
満足, 2.554128
存在, 2.554128
天才, 2.407946
魅了, 2.407946
層, 2.407946
役, 2.407946
はじめ, 2.407946
童心, 2.407946
ビジュアル, 2.407946
基本, 2.407946
テーマ, 2.407946
驚き, 2.407946
以下, 2.407946
字幕, 2.407946
人形, 2.407946
全編, 2.407946
インパクト, 2.407946
過去, 2.407946
意義, 2.407946
色彩, 2.407946
敬遠, 2.407946
男, 2.407946
ヤツ, 2.407946
社会, 2.407946
10, 2.407946
希望, 2.407946
瞳, 2.407946
成功, 2.407946
味, 2.407946
２人, 2.407946
美女, 2.407946
恋愛, 2.407946
別格, 2.407946
ロング, 2.407946
旅行, 2.407946
程度, 2.407946
余裕, 2.407946
生活, 2.407946
自覚, 2.407946
顔, 2.407946
街, 2.407946
ユーモア, 2.407946
想い, 2.407946
いっぱい, 2.407946
将来, 2.407946
感覚, 2.407946
出会い, 2.407946
期, 2.407946
経験, 2.407946
随所, 2.407946
造形, 2.407946
こだわり, 2.407946
年齢, 2.407946
ベスト, 2.407946
ワーク, 2.407946
行動, 2.407946
ハリウッド, 2.407946
一生, 2.407946
所, 2.407946
モノ, 2.407946
思い, 2.407946
子, 2.407946
好み, 2.407946
4, 2.407946
先生, 2.407946
撮影, 2.407946
30, 2.407946
はず, 2.407946
関係, 2.407946
満載, 2.407946
せい, 2.407946
ＤＶＤ, 2.407946
余韻, 2.407946
町, 2.407946
近所, 2.407946
日常, 2.407946
投影, 2.407946
ほとんど, 2.407946
奥, 2.407946
メロディ, 2.407946
現代, 2.407946
瞬間, 2.407946
ノスタルジー, 2.407946
友人, 2.407946
予想, 2.407946
6, 2.407946
劇中, 2.407946
面, 2.407946
続編, 2.407946
申し訳, 2.407946
たび, 2.407946
心地, 2.407946
城, 2.407946
金, 2.407946
主義, 2.407946
やつ, 2.407946
愛, 2.407946
森, 2.407946
周囲, 2.407946
声, 2.407946
代, 2.407946
上, 2.407946
ジェームズ, 2.407946
リアリティ, 2.407946
必然, 2.407946
場面, 2.407946
ゲーム, 2.407946
演技, 2.407946
円, 2.407946
大衆, 2.407946
複雑, 2.407946
感, 2.317931
価値, 2.140050
今回, 2.140050
方, 2.008292
最後, 1.785148
手放し, 1.609438
広がり, 1.609438
マイナス, 1.609438
認識, 1.609438
観賞, 1.609438
不安, 1.609438
一切, 1.609438
共, 1.609438
グロイ, 1.609438
モンスターズ, 1.609438
インク, 1.609438
勝ち, 1.609438
BD, 1.609438
１、２, 1.609438
ひかり, 1.609438
予習, 1.609438
発想, 1.609438
遊び, 1.609438
画期, 1.609438
否定, 1.609438
全戦, 1.609438
全勝, 1.609438
バカ, 1.609438
ストーリ, 1.609438
音, 1.609438
抜け目, 1.609438
逸品, 1.609438
ジェラシックパーク, 1.609438
以来, 1.609438
良作, 1.609438
普段, 1.609438
宣伝, 1.609438
個々, 1.609438
コンビ, 1.609438
エイリアン, 1.609438
リトル, 1.609438
グリーンメン, 1.609438
勇気, 1.609438
バージョン, 1.609438
トラウマ, 1.609438
オモチャ, 1.609438
カッコ, 1.609438
答え, 1.609438
とっく, 1.609438
オッ, 1.609438
眼, 1.609438
物事, 1.609438
人格, 1.609438
活劇, 1.609438
素人, 1.609438
加減, 1.609438
視点, 1.609438
仲良し, 1.609438
不出来, 1.609438
玩具, 1.609438
ＣＭ, 1.609438
シド, 1.609438
一見, 1.609438
コワー, 1.609438
長編, 1.609438
人畜, 1.609438
無害, 1.609438
遺物, 1.609438
パステル, 1.609438
トーン, 1.609438
中心, 1.609438
主役, 1.609438
受け, 1.609438
苦手, 1.609438
上昇, 1.609438
ウッディ, 1.609438
善人, 1.609438
臆病, 1.609438
逆, 1.609438
ラジコン, 1.609438
プラレス, 1.609438
三四郎, 1.609438
プラモ, 1.609438
狂四郎, 1.609438
精緻, 1.609438
境地, 1.609438
仕掛け, 1.609438
伏線, 1.609438
秘密, 1.609438
全開, 1.609438
ノッテングヒル, 1.609438
恋人, 1.609438
反省, 1.609438
エディ, 1.609438
アルバート, 1.609438
皆, 1.609438
賛辞, 1.609438
代弁, 1.609438
他愛, 1.609438
我が侭, 1.609438
世の中, 1.609438
自ら, 1.609438
義務, 1.609438
真実, 1.609438
口, 1.609438
クーパー, 1.609438
アドリブ, 1.609438
鍵, 1.609438
共演, 1.609438
風景, 1.609438
美男, 1.609438
出演, 1.609438
スタンダード, 1.609438
お伽噺, 1.609438
気分, 1.609438
異論, 1.609438
キリ, 1.609438
ヒロイン, 1.609438
髪, 1.609438
ジェラート, 1.609438
スパ, 1.609438
熱演, 1.609438
今日, 1.609438
名画, 1.609438
誉れ, 1.609438
筈, 1.609438
グレゴリ, 1.609438
名匠, 1.609438
ウィリアム, 1.609438
アカデミー, 1.609438
ケチ, 1.609438
付け, 1.609438
優雅, 1.609438
好奇, 1.609438
原点, 1.609438
ヘア, 1.609438
以後, 1.609438
破竹, 1.609438
巨匠, 1.609438
観光, 1.609438
肩, 1.609438
小品, 1.609438
ヘビー, 1.609438
スモーカー, 1.609438
女性, 1.609438
侍従, 1.609438
決別, 1.609438
覚悟, 1.609438
名所, 1.609438
案内, 1.609438
かっこ, 1.609438
調子, 1.609438
コレクター, 1.609438
白黒, 1.609438
感性, 1.609438
記者, 1.609438
プリンセス, 1.609438
再会, 1.609438
限り, 1.609438
ほんとう, 1.609438
だめ, 1.609438
反感, 1.609438
題材, 1.609438
空想, 1.609438
wonder, 1.609438
感銘, 1.609438
断言, 1.609438
幼少, 1.609438
ウォーク, 1.609438
イン, 1.609438
クローゼット, 1.609438
宅配, 1.609438
ピザ, 1.609438
大学, 1.609438
兄弟, 1.609438
Ｔ, 1.609438
次第, 1.609438
レビュワー, 1.609438
目頭, 1.609438
数々, 1.609438
実力, 1.609438
最良, 1.609438
チャチャチャチャチャ, 1.609438
上手, 1.609438
実験, 1.609438
大量, 1.609438
光源, 1.609438
説, 1.609438
実証, 1.609438
なか, 1.609438
墓場, 1.609438
適, 1.609438
意思, 1.609438
身の回り, 1.609438
日用, 1.609438
プライベート, 1.609438
ライアン, 1.609438
疑問, 1.609438
ガキ, 1.609438
見かけ, 1.609438
娯楽, 1.609438
裏, 1.609438
グループ, 1.609438
交際, 1.609438
アクビ, 1.609438
規模, 1.609438
インディ, 1.609438
BTTF, 1.609438
製作, 1.609438
無理, 1.609438
ふれあい, 1.609438
常識, 1.609438
対比, 1.609438
エリオット, 1.609438
蛙, 1.609438
女の子, 1.609438
キス, 1.609438
権力, 1.609438
悪人, 1.609438
ひとり, 1.609438
友好, 1.609438
温和, 1.609438
愛嬌, 1.609438
後味, 1.609438
チャリンコ, 1.609438
見ごたえ, 1.609438
８２, 1.609438
場合, 1.609438
吉, 1.609438
年代, 1.609438
遭遇, 1.609438
旋風, 1.609438
視覚, 1.609438
ハイ, 1.609438
教室, 1.609438
カエル, 1.609438
コンセプト, 1.609438
殆ど, 1.609438
皆無, 1.609438
歴史, 1.609438
軽視, 1.609438
ズッ, 1.609438
未来, 1.609438
部屋, 1.609438
音響, 1.609438
設備, 1.609438
７, 1.609438
話し, 1.609438
予備, 1.609438
知識, 1.609438
無し, 1.609438
好感, 1.609438
ドリュー, 1.609438
バリモア, 1.609438
14, 1.609438
録画, 1.609438
能力, 1.609438
満月, 1.609438
ジュラシック, 1.609438
パーク, 1.609438
シンドラー, 1.609438
リスト, 1.609438
戦争, 1.609438
ジャンル, 1.609438
才能, 1.609438
親父, 1.609438
満, 1.609438
考慮, 1.609438
プラス, 1.609438
毎年, 1.609438
ヒューマン, 1.609438
ドラマ, 1.609438
相棒, 1.609438
ヤヌス, 1.609438
カミン, 1.609438
スキー, 1.609438
キャメラ, 1.609438
かご, 1.609438
月, 1.609438
素朴, 1.609438
封切り, 1.609438
初日, 1.609438
感激, 1.609438
洋画, 1.609438
親, 1.609438
布団, 1.609438
典型, 1.609438
昔むかし, 1.609438
SF, 1.609438
鹿, 1.609438
男の子, 1.609438
今中, 1.609438
いじめ, 1.609438
正当, 1.609438
感想, 1.609438
息子, 1.609438
ＢＳ, 1.609438
びっくり, 1.609438
風格, 1.609438
指示, 1.609438
進学, 1.609438
塾, 1.609438
自由, 1.609438
気まま, 1.609438
番, 1.609438
年頃, 1.609438
接点, 1.609438
Ｒ, 1.609438
ライナー, 1.609438
天性, 1.609438
陽光, 1.609438
無邪気, 1.609438
的, 1.609438
12, 1.609438
ゴーテッツ, 1.609438
いま, 1.609438
余談, 1.609438
禁煙, 1.609438
旦那, 1.609438
煙草, 1.609438
食後, 1.609438
一服, 1.609438
筋, 1.609438
線路, 1.609438
特典, 1.609438
メーキング, 1.609438
ただ, 1.609438
１５, 1.609438
秩父, 1.609438
山奥, 1.609438
家, 1.609438
状況, 1.609438
説明, 1.609438
松本, 1.609438
人志, 1.609438
退化, 1.609438
嗜好, 1.609438
堤防, 1.609438
出発, 1.609438
出来事, 1.609438
喧騒, 1.609438
ネタバレ, 1.609438
リヴァー, 1.609438
出世, 1.609438
ジェリー, 1.609438
オコネル, 1.609438
力, 1.609438
者, 1.609438
自己, 1.609438
郷愁, 1.609438
利用, 1.609438
至高, 1.609438
ぱい, 1.609438
15, 1.609438
レンタル, 1.609438
ホームステイ, 1.609438
オレゴン, 1.609438
全員, 1.609438
とも, 1.609438
宝箱, 1.609438
ロブ, 1.609438
冒頭, 1.609438
スタンド, 1.609438
バイ, 1.609438
ミー, 1.609438
ひみつ, 1.609438
基地, 1.609438
悩み事, 1.609438
入り口, 1.609438
３０, 1.609438
小説, 1.609438
ヒル, 1.609438
E, 1.609438
ゴードン, 1.609438
ふるさと, 1.609438
異国, 1.609438
下, 1.609438
探し, 1.609438
日々, 1.609438
数, 1.609438
生涯, 1.609438
永遠, 1.609438
不朽, 1.609438
本, 1.609438
オーバーラップ, 1.609438
奇跡, 1.609438
２０, 1.609438
まん中, 1.609438
解説, 1.609438
宝物, 1.609438
幸せ, 1.609438
別れ, 1.609438
修学, 1.609438
ガイド, 1.609438
対象, 1.609438
遠く, 1.609438
台, 1.609438
べつ, 1.609438
ホント, 1.609438
チャンス, 1.609438
かた, 1.609438
NHK, 1.609438
放送, 1.609438
悩み, 1.609438
一人一人, 1.609438
共有, 1.609438
かけがえ, 1.609438
セリフ, 1.609438
子役, 1.609438
めがね, 1.609438
リモコン, 1.609438
高速, 1.609438
為, 1.609438
斜, 1.609438
無性, 1.609438
採点, 1.609438
台詞, 1.609438
旧, 1.609438
活躍, 1.609438
ジャージャー・ビンクス, 1.609438
助演, 1.609438
男優, 1.609438
獲得, 1.609438
そう, 1.609438
直前, 1.609438
見目, 1.609438
公達, 1.609438
歓迎, 1.609438
古典, 1.609438
序章, 1.609438
仕方, 1.609438
ＳＦＸ, 1.609438
ベイ, 1.609438
ダ, 1.609438
ルーク, 1.609438
笑顔, 1.609438
なぞ, 1.609438
唯一, 1.609438
救い, 1.609438
ライト, 1.609438
セイバー, 1.609438
ところどころ, 1.609438
暗黒, 1.609438
気味, 1.609438
好意, 1.609438
ラズベリー, 1.609438
ノミネート, 1.609438
楽しみ, 1.609438
チャンバラ, 1.609438
興ざめ, 1.609438
元老, 1.609438
野望, 1.609438
克服, 1.609438
ジェダイ, 1.609438
タイトル, 1.609438
電気, 1.609438
紙芝居, 1.609438
スリル, 1.609438
ポッド, 1.609438
仇役, 1.609438
モール, 1.609438
見所, 1.609438
ユアン, 1.609438
マクレガー, 1.609438
リーアム, 1.609438
ニーソン, 1.609438
諸々, 1.609438
正解, 1.609438
親子, 1.609438
品質, 1.609438
母親, 1.609438
近く, 1.609438
心境, 1.609438
モチーフ, 1.609438
伝説, 1.609438
物分り, 1.609438
父親, 1.609438
サスペンス, 1.609438
キネマ, 1.609438
旬報, 1.609438
