単語, スコア
電話, 28.969882
猫, 28.969882
コリン, 24.141569
ドラマ, 24.079456
ファレル, 22.532131
ジブリ, 17.703817
原作, 17.368071
ボックス, 16.094379
アニメ, 14.556091
ジャック, 14.447674
クリスマス, 12.875503
石神, 12.875503
ハロウィン, 11.266065
コメディ, 11.266065
鑑賞, 10.835755
バートン, 9.656627
娯楽, 9.656627
絵, 9.656627
後編, 9.656627
湯川, 9.656627
子供, 9.162907
展開, 9.162907
演技, 8.317766
歌, 8.246617
今, 8.203524
ティム, 8.047190
エイリアン, 8.047190
緊張, 8.047190
犯人, 8.047190
撮影, 8.047190
宮崎, 8.047190
国, 8.047190
ネコ, 8.047190
期待, 8.033168
人, 7.846849
声, 7.330326
俳優, 7.330326
漫画, 7.330326
シリーズ, 7.223837
キャラクター, 6.931472
シーン, 6.776824
ディズニー, 6.437752
ウィル, 6.437752
スミス, 6.437752
キーファー, 6.437752
空間, 6.437752
日間, 6.437752
ギブリーズ, 6.437752
バロン, 6.437752
Ｌ, 6.437752
藤原, 6.437752
ガリレオ, 6.437752
堤, 6.437752
容疑, 6.437752
小説, 6.414035
人生, 6.414035
１０, 6.414035
２, 6.414035
魅力, 6.238325
出来, 6.238325
最高, 6.129907
キャラ, 6.063474
邦画, 6.019864
アメリカ, 6.019864
タイトル, 6.019864
テレビ, 5.619082
前, 5.619082
主人, 5.619082
音楽, 5.545177
設定, 5.545177
気, 5.545177
回, 5.497744
版, 5.497744
個人, 5.497744
テンポ, 5.497744
画面, 5.497744
一, 5.108256
監督, 5.108256
以上, 4.993449
感, 4.909158
世界, 4.909158
本当, 4.852030
全部, 4.828314
クレイ, 4.828314
ランド, 4.828314
ミュージカル, 4.828314
ノリ, 4.828314
地球, 4.828314
宇宙, 4.828314
トミー, 4.828314
リー, 4.828314
ジョーンズ, 4.828314
一人芝居, 4.828314
最近, 4.828314
ひと, 4.828314
オチ, 4.828314
Ｗ, 4.828314
駿, 4.828314
耳, 4.828314
シスター, 4.828314
ナチョ, 4.828314
謎解き, 4.828314
X, 4.828314
トリック, 4.828314
福山, 4.828314
TV, 4.828314
ハルヒ, 4.828314
ベスト, 4.815891
好み, 4.815891
小物, 4.815891
２人, 4.815891
ほとんど, 4.815891
場所, 4.815891
想像, 4.815891
必要, 4.815891
月, 4.815891
ライト, 4.815891
リメイク, 4.815891
主演, 4.815891
映像, 4.636774
雰囲気, 4.597431
１, 4.597431
作り, 4.597431
ほう, 4.597431
度, 4.581454
人間, 4.581454
気持ち, 4.581454
伏線, 4.581454
時, 4.581454
違和, 4.581454
ため, 4.280099
評価, 4.158883
表情, 4.158883
わけ, 4.158883
観客, 4.158883
好感, 4.158883
一緒, 4.158883
物語, 4.086605
劇場, 4.086605
感じ, 4.016584
意味, 3.923424
ラスト, 3.923424
自分, 3.793440
気分, 3.665163
すべて, 3.665163
何, 3.665163
表現, 3.665163
天才, 3.665163
スタッフ, 3.665163
公開, 3.665163
主役, 3.665163
予想, 3.665163
舞台, 3.665163
キング, 3.611918
涙, 3.611918
1, 3.611918
個性, 3.611918
グッズ, 3.611918
努力, 3.611918
頃, 3.611918
うち, 3.611918
みんな, 3.611918
子ども, 3.611918
日常, 3.611918
構成, 3.611918
ファンタジー, 3.611918
愛, 3.611918
ロック, 3.611918
効果, 3.611918
テーマ, 3.611918
Ｂ, 3.611918
ブラック, 3.611918
足, 3.611918
英語, 3.611918
オープニング, 3.611918
ＴＶ, 3.611918
サスペンス, 3.611918
全体, 3.611918
失敗, 3.611918
金, 3.611918
ちなみ, 3.611918
つもり, 3.611918
豪華, 3.611918
主題, 3.611918
場合, 3.611918
逆, 3.611918
余韻, 3.611918
登場, 3.611918
マンガ, 3.611918
エピソード, 3.611918
頭脳, 3.611918
傑作, 3.611918
成功, 3.575779
目, 3.575779
年, 3.575779
役, 3.575779
2, 3.465736
所, 3.465736
頭, 3.465736
場面, 3.465736
モノ, 3.465736
側, 3.465736
日本, 3.465736
背景, 3.465736
人物, 3.465736
自体, 3.465736
内容, 3.347153
満点, 3.218876
反省, 3.218876
自由, 3.218876
太平, 3.218876
TDL, 3.218876
夢, 3.218876
家, 3.218876
ホネ, 3.218876
物, 3.218876
細部, 3.218876
動き, 3.218876
ナイトメア, 3.218876
マンション, 3.218876
ストップ, 3.218876
モーション, 3.218876
技術, 3.218876
サリー, 3.218876
暇, 3.218876
客, 3.218876
上映, 3.218876
初日, 3.218876
吹替え, 3.218876
アイディア, 3.218876
家族, 3.218876
最新, 3.218876
SF, 3.218876
やりとり, 3.218876
台詞, 3.218876
ＢＯＸ, 3.218876
８１, 3.218876
密室, 3.218876
フォレスト, 3.218876
動機, 3.218876
方法, 3.218876
スピード, 3.218876
警官, 3.218876
動向, 3.218876
持続, 3.218876
サザーランド, 3.218876
アイデア, 3.218876
途中, 3.218876
スケール, 3.218876
携帯, 3.218876
周り, 3.218876
ファー, 3.218876
スチュ, 3.218876
О, 3.218876
猫好き, 3.218876
ハル, 3.218876
反応, 3.218876
ムタ, 3.218876
池脇, 3.218876
千鶴, 3.218876
エンディング, 3.218876
じ, 3.218876
あやの, 3.218876
ネット, 3.218876
月島, 3.218876
雫, 3.218876
恩返し, 3.218876
スクール, 3.218876
オブ, 3.218876
相棒, 3.218876
披露, 3.218876
イメージ, 3.218876
弥, 3.218876
海砂, 3.218876
アイドル, 3.218876
未読, 3.218876
パパ, 3.218876
竜也, 3.218876
リューク, 3.218876
信念, 3.218876
実写, 3.218876
説明, 3.218876
CG, 3.218876
松山, 3.218876
彼氏, 3.218876
セラー, 3.218876
未見, 3.218876
雅治, 3.218876
雪山, 3.218876
ガマン, 3.218876
感動, 3.124010
演出, 3.064954
味, 3.064954
後, 3.064954
他, 3.064954
話, 2.900866
事, 2.853400
ファン, 2.772589
完璧, 2.772589
実, 2.772589
価値, 2.772589
役者, 2.772589
女の子, 2.772589
エンド, 2.772589
感心, 2.772589
上, 2.772589
笑, 2.748872
シナリオ, 2.748872
なし, 2.748872
勢い, 2.748872
とき, 2.748872
形, 2.748872
ビデオ, 2.748872
DVD, 2.748872
格好, 2.748872
一見, 2.748872
二, 2.748872
献上, 2.748872
まま, 2.748872
見所, 2.748872
手法, 2.748872
普通, 2.748872
描写, 2.748872
堪能, 2.748872
気味, 2.748872
不思議, 2.748872
せい, 2.748872
今作, 2.748872
飛行, 2.748872
機, 2.748872
過程, 2.748872
90, 2.748872
尺, 2.748872
本編, 2.748872
ＤＶＤ, 2.748872
心理, 2.748872
程度, 2.748872
二人, 2.748872
一応, 2.748872
時間, 2.739373
皆, 2.554128
おかげ, 2.554128
顔, 2.554128
点数, 2.554128
理解, 2.554128
ストーリー, 2.528652
脚本, 2.496725
あと, 2.496725
通り, 2.496725
印象, 2.454579
点, 2.423292
大体, 2.407946
半分, 2.407946
思いっきり, 2.407946
満足, 2.407946
会社, 2.407946
希望, 2.407946
実現, 2.407946
常, 2.407946
ヒット, 2.407946
びっくり, 2.407946
下, 2.407946
やつ, 2.407946
数, 2.407946
扉, 2.407946
かっこ, 2.407946
ネタバレ, 2.407946
あり, 2.407946
7, 2.407946
今日, 2.407946
命, 2.407946
仕事, 2.407946
小学, 2.407946
6, 2.407946
以外, 2.407946
インパクト, 2.407946
拍手, 2.407946
王, 2.407946
本気, 2.407946
実際, 2.407946
人形, 2.407946
仕草, 2.407946
心, 2.407946
一生, 2.407946
レベル, 2.407946
加減, 2.407946
安心, 2.407946
セット, 2.407946
仕立て, 2.407946
アニメーション, 2.407946
指定, 2.407946
2人, 2.407946
ロール, 2.407946
マニア, 2.407946
マン, 2.407946
自身, 2.407946
色, 2.407946
放送, 2.407946
活躍, 2.407946
タイプ, 2.407946
重視, 2.407946
友達, 2.407946
解説, 2.407946
中心, 2.407946
常識, 2.407946
新人, 2.407946
方向, 2.407946
おまけ, 2.407946
部, 2.407946
辺り, 2.407946
最初, 2.407946
目論見, 2.407946
笑い, 2.407946
ツボ, 2.407946
メイン, 2.407946
劇, 2.407946
ハリウッド, 2.407946
説教, 2.407946
近く, 2.407946
全編, 2.407946
冒頭, 2.407946
認識, 2.407946
クオリティ, 2.407946
評判, 2.407946
挑戦, 2.407946
昨今, 2.407946
辺, 2.407946
ワン, 2.407946
シチュエーション, 2.407946
世の中, 2.407946
無駄, 2.407946
勝負, 2.407946
目的, 2.407946
一切, 2.407946
脇役, 2.407946
本作, 2.407946
キャスト, 2.407946
今時, 2.407946
ヒロイン, 2.407946
後半, 2.407946
味わい, 2.407946
別, 2.407946
陣, 2.407946
満載, 2.407946
スペシャル, 2.407946
あたり, 2.407946
女性, 2.407946
人気, 2.407946
変, 2.407946
関係, 2.407946
夜中, 2.407946
過去, 2.407946
存在, 2.407946
必然, 2.407946
７, 2.407946
既読, 2.407946
再現, 2.407946
筋, 2.407946
正解, 2.407946
先入, 2.407946
ビジュアル, 2.407946
レンタル, 2.407946
延長, 2.407946
分, 2.231436
最後, 2.212571
手, 2.140050
方, 1.896489
中, 1.791129
もの, 1.685768
監獄, 1.609438
リタ, 1.609438
ヘイワース, 1.609438
品, 1.609438
同僚, 1.609438
絶賛, 1.609438
C, 1.609438
随所, 1.609438
メッセージ, 1.609438
文句, 1.609438
収穫, 1.609438
オペラ, 1.609438
10, 1.609438
やけ, 1.609438
所内, 1.609438
決まり, 1.609438
看守, 1.609438
囚人, 1.609438
虐待, 1.609438
カタルシス, 1.609438
実話, 1.609438
みな, 1.609438
Redemption, 1.609438
泣き, 1.609438
ヘイウッド, 1.609438
ウィリアムザドラー, 1.609438
投票, 1.609438
バクストン, 1.609438
大木, 1.609438
レッド, 1.609438
名画, 1.609438
縁の下, 1.609438
力持ち, 1.609438
言葉, 1.609438
脱出, 1.609438
意見, 1.609438
千差, 1.609438
万別, 1.609438
得点, 1.609438
ノー, 1.609438
カット, 1.609438
録画, 1.609438
ま, 1.609438
１９, 1.609438
年間, 1.609438
胸, 1.609438
想い, 1.609438
三十, 1.609438
BEST, 1.609438
２０, 1.609438
インターネット, 1.609438
インタビュー, 1.609438
こども, 1.609438
お祭り騒ぎ, 1.609438
スキップ, 1.609438
機会, 1.609438
理由, 1.609438
敬遠, 1.609438
市長, 1.609438
サンディ, 1.609438
クローズ, 1.609438
欧米, 1.609438
祝日, 1.609438
習慣, 1.609438
木, 1.609438
恐, 1.609438
空気, 1.609438
家具, 1.609438
風景, 1.609438
値, 1.609438
ムード, 1.609438
骸骨, 1.609438
面, 1.609438
ダーク, 1.609438
フィンケルスタイン, 1.609438
博士, 1.609438
三ツ矢, 1.609438
雄二, 1.609438
結局, 1.609438
手間, 1.609438
情熱, 1.609438
おとぎ話, 1.609438
クリエイター, 1.609438
ピクサー, 1.609438
手仕事, 1.609438
奇跡, 1.609438
学年, 1.609438
バージョン, 1.609438
ホーンテッド, 1.609438
きっかけ, 1.609438
姉弟, 1.609438
大喜び, 1.609438
途端, 1.609438
次ぎ, 1.609438
３６４, 1.609438
機軸, 1.609438
進歩, 1.609438
良し悪し, 1.609438
異形, 1.609438
言及, 1.609438
今後, 1.609438
仕様, 1.609438
ホンテ, 1.609438
持ち味, 1.609438
底, 1.609438
六角, 1.609438
部屋, 1.609438
雪, 1.609438
ドア, 1.609438
ベル, 1.609438
バスタブ, 1.609438
乗り, 1.609438
横取り, 1.609438
勘違い, 1.609438
化け物, 1.609438
準備, 1.609438
一方, 1.609438
ギャップ, 1.609438
裏方, 1.609438
圧倒, 1.609438
街, 1.609438
ファミリー, 1.609438
繰り返し, 1.609438
出会い, 1.609438
昨年, 1.609438
関心, 1.609438
今年, 1.609438
かぼちゃ, 1.609438
飾りつけ, 1.609438
秒, 1.609438
60, 1.609438
コマ, 1.609438
見当, 1.609438
違い, 1.609438
３, 1.609438
滑稽, 1.609438
アニメイト, 1.609438
長篇, 1.609438
根性, 1.609438
軽快, 1.609438
幻想, 1.609438
娘, 1.609438
十, 1.609438
それぞれ, 1.609438
発達, 1.609438
ＣＧ, 1.609438
駆使, 1.609438
工夫, 1.609438
リバイバル, 1.609438
シネコン, 1.609438
土曜, 1.609438
日, 1.609438
夕方, 1.609438
席, 1.609438
VIP, 1.609438
1人, 1.609438
コア, 1.609438
田舎, 1.609438
感想, 1.609438
はず, 1.609438
モンスター, 1.609438
語, 1.609438
ダニー, 1.609438
エルフ, 1.609438
歌声, 1.609438
オマケ, 1.609438
爆笑, 1.609438
パーティー, 1.609438
BGM, 1.609438
絶対, 1.609438
