単語, スコア
シリーズ, 46.673699
マン, 20.922693
アイアン, 19.313255
宮崎, 18.059592
博物, 16.094379
中, 14.813943
インディ, 14.484941
スーツ, 14.484941
ヒーロー, 13.243701
アシタカ, 11.266065
展示, 11.266065
ダウニー, 11.266065
トニー, 11.266065
期待, 10.397208
３, 10.079198
映像, 9.704061
アイデア, 9.656627
社長, 9.656627
スターク, 9.656627
監督, 9.631782
子供, 9.010913
自分, 8.684036
アニメ, 8.427810
音楽, 8.246617
ショーン, 8.047190
コネリー, 8.047190
方, 8.047190
家族, 8.047190
作り, 8.047190
個人, 7.330326
アクション, 7.330326
理解, 7.330326
１, 7.330326
人生, 7.330326
度, 7.223837
アメリカ, 7.223837
冒険, 7.223837
以上, 7.223837
ストーリー, 7.151559
最後, 6.931472
人間, 6.931472
一, 6.640733
感, 6.640733
ハリソン, 6.437752
ジョーンズ, 6.437752
三, 6.437752
メッセージ, 6.437752
ナウシカ, 6.437752
サン, 6.437752
ロボット, 6.437752
Ｊｒ, 6.437752
ロバート, 6.437752
アメコミ, 6.437752
辞書, 6.437752
設定, 6.414035
印象, 6.414035
人, 6.414035
CG, 6.414035
主人, 6.414035
こと, 6.248019
シーン, 6.129907
気, 6.129907
今, 6.129907
1, 6.019864
登場, 6.019864
回, 6.019864
手, 6.019864
テーマ, 6.019864
天才, 6.019864
感じ, 5.619082
笑, 5.545177
２, 5.497744
本作, 5.497744
絵, 5.497744
迫力, 5.497744
意味, 5.497744
作品, 5.373386
もの, 5.132302
評価, 4.852030
リバー, 4.828314
フェニックス, 4.828314
インディー, 4.828314
汗, 4.828314
掛け合い, 4.828314
部, 4.828314
レイダース, 4.828314
せい, 4.828314
消化, 4.828314
もののけ, 4.828314
姫, 4.828314
声, 4.828314
実写, 4.828314
グウィネス, 4.828314
製作, 4.828314
パワード, 4.828314
時点, 4.828314
過程, 4.828314
兵器, 4.828314
ロボ, 4.828314
キャラ, 4.828314
あおい, 4.828314
オダギリ, 4.828314
ジョー, 4.828314
友達, 4.815891
父親, 4.815891
最高, 4.815891
インパクト, 4.815891
あり, 4.815891
日本, 4.815891
歴史, 4.815891
小林, 4.815891
薫, 4.815891
技術, 4.815891
前, 4.581454
親子, 4.581454
スケール, 4.581454
頃, 4.581454
話, 4.581454
年, 4.581454
共感, 4.581454
大人, 4.581454
魅力, 4.581454
人物, 4.581454
後, 4.158883
内容, 4.158883
事, 4.158883
ところ, 4.158883
最初, 4.158883
通り, 4.158883
時, 3.923424
俳優, 3.665163
気持ち, 3.665163
世界, 3.665163
展開, 3.665163
以外, 3.665163
点, 3.665163
興味, 3.665163
キャラクター, 3.665163
鑑賞, 3.611918
劇場, 3.611918
後半, 3.611918
名前, 3.611918
昔, 3.611918
何, 3.611918
主役, 3.611918
テンポ, 3.611918
飛行, 3.611918
結果, 3.611918
目, 3.611918
とこ, 3.611918
所, 3.611918
知識, 3.611918
とき, 3.611918
自然, 3.611918
価値, 3.611918
観客, 3.611918
要素, 3.611918
頭, 3.611918
特撮, 3.611918
久々, 3.611918
カッコ, 3.611918
行動, 3.611918
感情, 3.611918
金, 3.611918
脇, 3.611918
二人, 3.611918
完成, 3.465736
心, 3.465736
ラスト, 3.465736
演技, 3.465736
下, 3.218876
幸せ, 3.218876
好み, 3.218876
フォード, 3.218876
試練, 3.218876
１，２, 3.218876
ひと, 3.218876
活躍, 3.218876
番, 3.218876
マンネリ, 3.218876
魔宮, 3.218876
伝説, 3.218876
パパ, 3.218876
スピルバーグ, 3.218876
相手, 3.218876
別, 3.218876
魂, 3.218876
話題, 3.218876
かっこ, 3.218876
森, 3.218876
残酷, 3.218876
駿, 3.218876
ジブリ, 3.218876
ビデオ, 3.218876
動物, 3.218876
必要, 3.218876
男, 3.218876
芸術, 3.218876
程度, 3.218876
ローマ, 3.218876
教育, 3.218876
カウボーイ, 3.218876
実際, 3.218876
Ｄ, 3.218876
一緒, 3.218876
敵, 3.218876
自ら, 3.218876
続編, 3.218876
ドラマ, 3.218876
主演, 3.218876
金持ち, 3.218876
戦闘, 3.218876
産業, 3.218876
かげん, 3.218876
Jr, 3.218876
コップ, 3.218876
男の子, 3.218876
作成, 3.218876
前半, 3.218876
移入, 3.218876
一人, 3.218876
一言, 3.218876
転機, 3.218876
ふい, 3.218876
場合, 3.218876
字幕, 3.218876
伊佐山, 3.218876
ひろ子, 3.218876
それぞれ, 3.218876
先生, 3.218876
狂気, 3.218876
光, 3.218876
ため, 3.210074
言葉, 3.064954
感動, 2.772589
舞台, 2.772589
夢, 2.772589
役柄, 2.748872
実, 2.748872
分, 2.748872
親父, 2.748872
もん, 2.748872
娯楽, 2.748872
満載, 2.748872
レベル, 2.748872
訳, 2.748872
数, 2.748872
表現, 2.748872
原作, 2.748872
最近, 2.748872
部分, 2.748872
現代, 2.748872
エンド, 2.748872
時間, 2.496725
息子, 2.407946
動き, 2.407946
味, 2.407946
みんな, 2.407946
あと, 2.407946
場面, 2.407946
ムービー, 2.407946
現実, 2.407946
約束, 2.407946
3, 2.407946
二, 2.407946
エンディング, 2.407946
演出, 2.407946
愛情, 2.407946
役, 2.407946
ヒット, 2.407946
圧倒, 2.407946
評判, 2.407946
理屈, 2.407946
戦い, 2.407946
見所, 2.407946
冒頭, 2.407946
父子, 2.407946
描写, 2.407946
普通, 2.407946
７, 2.407946
実感, 2.407946
質, 2.407946
記憶, 2.407946
ネタ, 2.407946
先, 2.407946
わけ, 2.407946
以前, 2.407946
ストーリ, 2.407946
パワー, 2.407946
像, 2.407946
満点, 2.407946
テレビ, 2.407946
子ども, 2.407946
キャスト, 2.407946
意気, 2.407946
本当, 2.407946
点数, 2.407946
変, 2.407946
者, 2.407946
学校, 2.407946
ファンタジー, 2.407946
つもり, 2.407946
邦画, 2.407946
視覚, 2.407946
効果, 2.407946
空気, 2.407946
拍手, 2.407946
オープニング, 2.407946
2, 2.407946
ファン, 2.407946
機微, 2.407946
恋愛, 2.407946
体験, 2.407946
賞賛, 2.407946
存在, 2.407946
上映, 2.407946
瞬間, 2.407946
物, 1.609438
高校, 1.609438
受験, 1.609438
リアル, 1.609438
タイム, 1.609438
山場, 1.609438
遺跡, 1.609438
由来, 1.609438
マニア, 1.609438
動作, 1.609438
Ⅰ, 1.609438
サラ, 1.609438
マーカス, 1.609438
ナチス, 1.609438
連中, 1.609438
Ⅲ, 1.609438
マヌケ, 1.609438
ダヴィンチ, 1.609438
コード, 1.609438
パンチ, 1.609438
事実, 1.609438
希望, 1.609438
見せ場, 1.609438
崖, 1.609438
角度, 1.609438
橋, 1.609438
トリック, 1.609438
聖杯, 1.609438
謎, 1.609438
課程, 1.609438
ジェット, 1.609438
コースター, 1.609438
前作, 1.609438
スピード, 1.609438
歳, 1.609438
前転, 1.609438
W, 1.609438
縦横, 1.609438
無尽, 1.609438
公開, 1.609438
モノ, 1.609438
合格, 1.609438
スケベ, 1.609438
ちゃめ, 1.609438
奮闘, 1.609438
詠み人, 1.609438
来夢, 1.609438
無人, 1.609438
朝, 1.609438
参加, 1.609438
陣, 1.609438
厚み, 1.609438
聖櫃, 1.609438
ときめき, 1.609438
博士, 1.609438
ヒトラー, 1.609438
サイン, 1.609438
爽快, 1.609438
脚本, 1.609438
4, 1.609438
発揮, 1.609438
かけあい, 1.609438
影響, 1.609438
重点, 1.609438
覚え, 1.609438
ベスト, 1.609438
活劇, 1.609438
戦車, 1.609438
なじみ, 1.609438
健在, 1.609438
船, 1.609438
機, 1.609438
バイク, 1.609438
馬, 1.609438
主体, 1.609438
ストレート, 1.609438
参入, 1.609438
得点, 1.609438
部類, 1.609438
犬, 1.609438
考古, 1.609438
全部, 1.609438
ＯＯ, 1.609438
連, 1.609438
次, 1.609438
大学, 1.609438
ガキ, 1.609438
中身, 1.609438
カラッポ, 1.609438
似合い, 1.609438
不足, 1.609438
当時, 1.609438
成人, 1.609438
ツッコミ, 1.609438
神聖, 1.609438
てんこ盛り, 1.609438
不良, 1.609438
批評, 1.609438
ほう, 1.609438
超人, 1.609438
矢, 1.609438
素手, 1.609438
部品, 1.609438
最上, 1.609438
ルパン, 1.609438
ラピュタ, 1.609438
パズー, 1.609438
ロマン, 1.609438
神話, 1.609438
力量, 1.609438
蝦夷, 1.609438
野生, 1.609438
マイノリティ, 1.609438
賛美, 1.609438
特筆, 1.609438
客, 1.609438
サービス, 1.609438
精神, 1.609438
売り物, 1.609438
ニ, 1.609438
結局, 1.609438
結論, 1.609438
エコ, 1.609438
お陰, 1.609438
腕, 1.609438
週間, 1.609438
情熱, 1.609438
他, 1.609438
美, 1.609438
塊, 1.609438
鼻, 1.609438
千, 1.609438
千尋, 1.609438
エボシ, 1.609438
御前, 1.609438
民俗, 1.609438
若干, 1.609438
Up, 1.609438
当初, 1.609438
ウチ, 1.609438
時代, 1.609438
学級, 1.609438
委員, 1.609438
意識, 1.609438
物語, 1.609438
セルフ, 1.609438
リメイク, 1.609438
筈, 1.609438
三輪, 1.609438
明宏, 1.609438
光子, 1.609438
森繁, 1.609438
久弥, 1.609438
豪華, 1.609438
割, 1.609438
主題, 1.609438
歌手, 1.609438
少々, 1.609438
減点, 1.609438
引退, 1.609438
名作, 1.609438
かわり, 1.609438
平均, 1.609438
ヶ月, 1.609438
従来, 1.609438
反復, 1.609438
結末, 1.609438
代わり映え, 1.609438
とちゅう, 1.609438
好奇, 1.609438
けつ, 1.609438
集中, 1.609438
TV, 1.609438
放映, 1.609438
見ごたえ, 1.609438
環境, 1.609438
問題, 1.609438
共存, 1.609438
前面, 1.609438
深み, 1.609438
血, 1.609438
人肉, 1.609438
オチ, 1.609438
家事, 1.609438
皆, 1.609438
犬神, 1.609438
神, 1.609438
コダマ, 1.609438
牙, 1.609438
赤子, 1.609438
久石, 1.609438
神秘, 1.609438
ボリューム, 1.609438
入魂, 1.609438
死, 1.609438
欲望, 1.609438
命, 1.609438
類似, 1.609438
オリジナリティ, 1.609438
不快, 1.609438
ごめん, 1.609438
となり, 1.609438
トトロ, 1.609438
学年, 1.609438
画像, 1.609438
高級, 1.609438
作り手, 1.609438
疲労, 1.609438
整理, 1.609438
自身, 1.609438
主義, 1.609438
動員, 1.609438
どん詰まり, 1.609438
故, 1.609438
保護, 1.609438
ヒロイン, 1.609438
女, 1.609438
絵画, 1.609438
否, 1.609438
ドグマ, 1.609438
文章, 1.609438
ダイジェスト, 1.609438
事前, 1.609438
ゼロ, 1.609438
敗因, 1.609438
ニューヨーク, 1.609438
20, 1.609438
愛, 1.609438
コメディ, 1.609438
予習, 1.609438
絶対, 1.609438
オトナ, 1.609438
とっく, 1.609438
二十, 1.609438
代, 1.609438
突入, 1.609438
今日, 1.609438
陳列, 1.609438
ディック, 1.609438
バン, 1.609438
ダイク, 1.609438
ミッキー, 1.609438
ルーニー, 1.609438
元気, 1.609438
姿, 1.609438
アッチラ, 1.609438
古代, 1.609438
勉強, 1.609438
マニュアル, 1.609438
物量, 1.609438
密度, 1.609438
段落, 1.609438
就学, 1.609438
