単語, スコア
宮崎, 37.017072
ヒーロー, 32.507266
家族, 31.153885
バートン, 25.751007
声, 25.751007
ソフィー, 24.141569
作品, 23.183871
ピクサー, 22.532131
映画, 22.314355
アニメ, 21.990978
工場, 20.922693
スーパー, 19.313255
感動, 15.942385
子供, 15.942385
こと, 15.620049
チョコレート, 14.484941
ジョニー, 14.484941
能力, 14.447674
ハウル, 14.447674
最高, 13.862944
ジブリ, 13.243701
ストーリー, 13.169796
デップ, 12.875503
キムタク, 12.875503
点, 12.476649
原作, 12.039728
今, 11.748989
アクション, 11.266065
版, 11.266065
チョコ, 11.266065
木村, 11.266065
最後, 11.090355
キャラクター, 11.090355
声優, 10.995489
それぞれ, 10.835755
キャラ, 10.835755
愛, 10.397208
度, 10.397208
感, 10.397208
もの, 9.986898
事, 9.704061
チャーリー, 9.656627
ティム, 9.656627
千尋, 9.656627
期待, 9.273549
役, 9.162907
以上, 9.162907
感じ, 9.162907
部分, 9.162907
シーン, 9.010913
話, 9.010913
映像, 8.684036
自分, 8.684036
中, 8.560199
男, 8.427810
父親, 8.427810
前, 8.427810
千, 8.427810
音楽, 8.317766
人, 8.317766
個人, 8.317766
笑い, 8.246617
表現, 8.246617
節子, 8.047190
兄, 8.047190
三浦, 8.047190
友和, 8.047190
活躍, 8.047190
フィッシュ, 8.047190
拓哉, 8.047190
本当, 7.624619
伏線, 7.330326
戦争, 7.223837
妹, 7.223837
父, 7.223837
安心, 7.223837
雰囲気, 7.223837
ファン, 7.223837
パワー, 7.223837
気持ち, 6.931472
1, 6.931472
物語, 6.931472
ラスト, 6.931472
魅力, 6.640733
清太, 6.437752
当時, 6.437752
バリアー, 6.437752
吹替え, 6.437752
ダッシュ, 6.437752
ジャック, 6.437752
インク, 6.437752
ウォン, 6.437752
コメディ, 6.437752
日本, 6.420149
リアル, 6.414035
心, 6.414035
満足, 6.414035
１, 6.238325
ため, 6.238325
評価, 6.238325
力, 6.019864
人間, 6.019864
印象, 6.019864
何, 6.019864
ファンタジー, 6.019864
場面, 6.019864
笑, 6.019864
説明, 6.019864
一, 5.706799
方, 5.545177
今回, 5.545177
世界, 5.545177
二人, 5.497744
母, 5.497744
メッセージ, 5.497744
内容, 5.497744
設定, 5.497744
テーマ, 5.497744
あと, 5.497744
エンド, 5.497744
センス, 5.497744
ＣＧ, 5.497744
気分, 5.497744
他, 5.497744
話題, 5.497744
監督, 5.108256
後, 4.852030
時, 4.852030
演出, 4.852030
わけ, 4.852030
ほう, 4.852030
気, 4.852030
後半, 4.852030
命, 4.828314
高畑, 4.828314
思考, 4.828314
反戦, 4.828314
ヴァイオレット, 4.828314
カット, 4.828314
シンドローム, 4.828314
黒木, 4.828314
瞳, 4.828314
必要, 4.828314
イラスティガール, 4.828314
レディ, 4.828314
ブル, 4.828314
髪, 4.828314
実写, 4.828314
金, 4.828314
ウンパルンパ, 4.828314
曲, 4.828314
チケット, 4.828314
夢, 4.828314
友達, 4.828314
城, 4.828314
帽子, 4.828314
久石, 4.828314
魔法, 4.828314
テレビ, 4.815891
冷静, 4.815891
結果, 4.815891
日, 4.815891
生活, 4.815891
ハリウッド, 4.815891
語, 4.815891
予想, 4.815891
俳優, 4.815891
構成, 4.815891
テンポ, 4.815891
マン, 4.815891
家庭, 4.815891
疑問, 4.815891
番, 4.815891
子, 4.815891
すべて, 4.815891
役者, 4.815891
モノ, 4.815891
前作, 4.815891
公開, 4.815891
万, 4.815891
意味, 4.597431
大人, 4.597431
年, 4.581454
物, 4.581454
人生, 4.581454
全て, 4.581454
観客, 4.581454
展開, 4.581454
とき, 4.581454
せい, 4.581454
ヒット, 4.581454
個性, 4.158883
鑑賞, 4.158883
ところ, 4.086605
3, 3.665163
子ども, 3.665163
絵, 3.665163
描写, 3.665163
うち, 3.665163
あたり, 3.665163
姿, 3.665163
昔, 3.665163
目, 3.665163
演技, 3.665163
発揮, 3.665163
上, 3.665163
みんな, 3.665163
最初, 3.665163
別, 3.665163
途中, 3.665163
時代, 3.611918
先生, 3.611918
完璧, 3.611918
者, 3.611918
成長, 3.611918
本作, 3.611918
CG, 3.611918
登場, 3.611918
脚本, 3.611918
賞賛, 3.611918
好み, 3.611918
久々, 3.611918
完成, 3.611918
ロール, 3.611918
違和, 3.611918
問題, 3.611918
画面, 3.611918
理屈, 3.611918
訳, 3.611918
確認, 3.611918
劇場, 3.611918
驚き, 3.611918
リメイク, 3.611918
進化, 3.611918
最近, 3.611918
まま, 3.611918
客, 3.611918
要素, 3.611918
円, 3.611918
一緒, 3.575779
４, 3.465736
手, 3.465736
想像, 3.465736
行動, 3.218876
野坂, 3.218876
感謝, 3.218876
立場, 3.218876
植民, 3.218876
地, 3.218876
国民, 3.218876
状況, 3.218876
ツボ, 3.218876
プラス, 3.218876
９, 3.218876
かっこ, 3.218876
仮面, 3.218876
感心, 3.218876
興奮, 3.218876
役割, 3.218876
クレジット, 3.218876
夫人, 3.218876
造形, 3.218876
DVD, 3.218876
ファミリー, 3.218876
スパイダー, 3.218876
奥, 3.218876
像, 3.218876
人々, 3.218876
女, 3.218876
夫, 3.218876
好感, 3.218876
アイテム, 3.218876
試写, 3.218876
母親, 3.218876
セリフ, 3.218876
怪力, 3.218876
正統, 3.218876
悪, 3.218876
夫婦, 3.218876
過去, 3.218876
誕生, 3.218876
少年, 3.218876
バック, 3.218876
献上, 3.218876
所々, 3.218876
ネタ, 3.218876
親子, 3.218876
コンビ, 3.218876
セット, 3.218876
抹殺, 3.218876
ブラック, 3.218876
ユーモア, 3.218876
劇中, 3.218876
娘, 3.218876
人形, 3.218876
不満, 3.218876
ミュージカル, 3.218876
製造, 3.218876
ウィリー, 3.218876
趣味, 3.218876
香り, 3.218876
思い, 3.218876
ウンパ・ルンパ, 3.218876
素材, 3.218876
老婆, 3.218876
掃除, 3.218876
予感, 3.218876
ラブ, 3.218876
美輪, 3.218876
NO, 3.218876
REASON, 3.218876
ｖ, 3.218876
もののけ, 3.218876
姫, 3.218876
終了, 3.218876
倍賞, 3.218876
少女, 3.218876
イメージ, 3.218876
足, 3.218876
宣伝, 3.218876
コピー, 3.218876
ばあ, 3.218876
なか, 3.218876
シリーズ, 3.218876
邦題, 3.218876
興行, 3.218876
収入, 3.218876
予告, 3.218876
編, 3.218876
回収, 3.218876
新郎, 3.218876
事実, 3.218876
予算, 3.218876
続編, 3.218876
カメラ, 3.218876
理解, 3.064954
点数, 2.772589
二, 2.772589
キャスト, 2.772589
状態, 2.748872
人物, 2.748872
周り, 2.748872
先, 2.748872
回, 2.748872
所, 2.748872
主義, 2.748872
作り, 2.748872
心理, 2.748872
冒頭, 2.748872
ひと, 2.748872
唯一, 2.748872
謎, 2.748872
バカ, 2.748872
人気, 2.748872
評判, 2.748872
５, 2.407946
絆, 2.407946
ほか, 2.407946
資格, 2.407946
出来, 2.407946
現実, 2.407946
トトロ, 2.407946
ビデオ, 2.407946
価値, 2.407946
レクイエム, 2.407946
多く, 2.407946
ギャップ, 2.407946
幸運, 2.407946
家, 2.407946
認識, 2.407946
論理, 2.407946
戦い, 2.407946
いま, 2.407946
以前, 2.407946
胸, 2.407946
効果, 2.407946
繰り返し, 2.407946
時間, 2.407946
オープニング, 2.407946
存在, 2.407946
醍醐, 2.407946
パロディ, 2.407946
側面, 2.407946
荒唐, 2.407946
無稽, 2.407946
秘密, 2.407946
下, 2.407946
走り, 2.407946
カッコ, 2.407946
