単語, スコア
アクション, 26.052107
トム, 20.922693
ジョニー, 19.313255
デップ, 19.313255
州, 16.094379
知事, 16.094379
シュワ, 13.744361
クルーズ, 12.875503
レノ, 12.875503
感, 11.748989
スパイ, 11.266065
ジャン, 11.266065
２, 11.238164
１, 10.397208
シリーズ, 10.079198
ドラマ, 10.079198
感動, 9.704061
列車, 8.427810
回, 8.317766
中, 8.317766
何, 8.246617
ミッション, 8.047190
ウィリス, 8.047190
本作, 7.624619
役, 7.330326
娯楽, 7.151559
迫力, 7.151559
最高, 7.133499
恐竜, 6.437752
Ｔ, 6.437752
サラ, 6.437752
Ｂ, 6.437752
ジャック, 6.437752
ディズニー, 6.437752
シュワルツェネッガー, 6.437752
ジェイソン, 6.437752
スピード, 6.437752
実話, 6.437752
最後, 6.420149
音楽, 6.238325
演出, 6.019864
ターミネーター, 6.019864
作戦, 6.019864
今, 5.801732
版, 5.619082
意味, 5.619082
シーン, 5.578589
時, 5.545177
人, 5.545177
期待, 5.545177
テンポ, 5.545177
格好, 5.497744
３, 5.497744
展開, 5.497744
技術, 5.497744
主人, 5.497744
ラスト, 5.108256
ＣＧ, 4.852030
存在, 4.852030
キャラクター, 4.852030
エディ, 4.828314
遂行, 4.828314
チーム, 4.828314
デ, 4.828314
パルマ, 4.828314
幹線, 4.828314
イーサン, 4.828314
仲間, 4.828314
ブルース, 4.828314
タイム, 4.828314
ハリー, 4.828314
ロウ, 4.828314
機関, 4.828314
印象, 4.815891
ジョン, 4.815891
成功, 4.815891
傑作, 4.815891
インパクト, 4.815891
オリジナル, 4.815891
主演, 4.815891
話, 4.815891
スパ, 4.815891
日本, 4.815891
飛行, 4.815891
ストーリー, 4.686015
方, 4.636774
本当, 4.597431
続編, 4.581454
CG, 4.581454
未来, 4.581454
人生, 4.581454
理解, 4.581454
あと, 4.581454
機, 4.581454
脚本, 4.581454
時間, 4.581454
子供, 4.158883
公開, 4.158883
手, 4.158883
俳優, 4.158883
最近, 4.086605
内容, 4.086605
度, 3.923424
当時, 3.793440
おかげ, 3.665163
ヘリ, 3.665163
最初, 3.665163
現代, 3.665163
最新, 3.665163
時代, 3.665163
評価, 3.665163
カッコ, 3.665163
悪役, 3.665163
へん, 3.665163
冒頭, 3.665163
カット, 3.665163
作り, 3.665163
車, 3.665163
金, 3.665163
完璧, 3.665163
ほう, 3.611918
あたり, 3.611918
プロット, 3.611918
二人, 3.611918
－, 3.611918
味方, 3.611918
設定, 3.611918
数, 3.611918
１０, 3.611918
表現, 3.611918
とこ, 3.611918
基本, 3.611918
大, 3.611918
3, 3.611918
この頃, 3.611918
物, 3.611918
雰囲気, 3.611918
色, 3.611918
物語, 3.611918
違い, 3.611918
汗, 3.611918
ヘリコプター, 3.611918
黒人, 3.611918
昔, 3.611918
観賞, 3.611918
以上, 3.611918
団円, 3.611918
活躍, 3.611918
人間, 3.611918
圧倒, 3.611918
余裕, 3.611918
バカ, 3.611918
魅力, 3.575779
感じ, 3.575779
自分, 3.566749
気, 3.566749
とき, 3.465736
ため, 3.465736
劇場, 3.465736
見せ場, 3.465736
画面, 3.465736
アイデア, 3.218876
コナー, 3.218876
先, 3.218876
前作, 3.218876
1000, 3.218876
別, 3.218876
ガン, 3.218876
醍醐, 3.218876
ひと, 3.218876
インポッシブル, 3.218876
鑑賞, 3.218876
自体, 3.218876
20, 3.218876
テーマ, 3.218876
ベアール, 3.218876
レベル, 3.218876
良作, 3.218876
目, 3.218876
爆破, 3.218876
粗, 3.218876
顔, 3.218876
頭脳, 3.218876
００７, 3.218876
掃除, 3.218876
サスペンス, 3.218876
無理, 3.218876
マクティアナン, 3.218876
はまり役, 3.218876
ブイ, 3.218876
ウィルス, 3.218876
キューブリック, 3.218876
マシン, 3.218876
マイケル, 3.218876
DVD, 3.218876
海賊, 3.218876
オーランド, 3.218876
銃撃, 3.218876
隊長, 3.218876
身, 3.218876
男, 3.218876
難題, 3.218876
スコット, 3.218876
家族, 3.218876
かっこ, 3.210074
年, 3.210074
もの, 3.124010
ところ, 3.064954
人物, 3.064954
後, 3.064954
点, 2.900866
前, 2.853400
笑, 2.772589
他, 2.772589
所, 2.772589
クライマックス, 2.772589
演技, 2.772589
ベスト, 2.772589
バランス, 2.772589
元, 2.772589
なし, 2.772589
ビデオ, 2.748872
ほんと, 2.748872
小学, 2.748872
ファン, 2.748872
三, 2.748872
世界, 2.748872
大作, 2.748872
ホント, 2.748872
値, 2.748872
自身, 2.748872
定番, 2.748872
リアリティ, 2.748872
個人, 2.748872
個性, 2.748872
味, 2.748872
Ｊ, 2.748872
姿, 2.748872
二, 2.748872
満載, 2.748872
ヒーロー, 2.748872
納得, 2.748872
頭, 2.748872
言葉, 2.748872
センス, 2.748872
エンターテイメント, 2.554128
監督, 2.496725
登場, 2.496725
T, 2.407946
心, 2.407946
安心, 2.407946
説得, 2.407946
夢, 2.407946
初見, 2.407946
スクリーン, 2.407946
瞬間, 2.407946
上映, 2.407946
内, 2.407946
少年, 2.407946
スピルバーグ, 2.407946
観客, 2.407946
発揮, 2.407946
普通, 2.407946
予想, 2.407946
通り, 2.407946
放送, 2.407946
突っ込み, 2.407946
覚え, 2.407946
あり, 2.407946
武器, 2.407946
絶対, 2.407946
ちなみ, 2.407946
スケール, 2.407946
予定, 2.407946
銃, 2.407946
以降, 2.407946
反応, 2.407946
仕方, 2.407946
上, 2.407946
終盤, 2.407946
９, 2.407946
実, 2.407946
J, 2.407946
キャメロン, 2.407946
ショット, 2.407946
なか, 2.407946
2, 2.407946
タイミング, 2.407946
皆, 2.407946
描写, 2.407946
感覚, 2.407946
月日, 2.407946
