レビュー文, スコア
タイトルバックではアイスクリームを味わう州知事、鹿にエサをやる州知事、川釣りを楽しむ州知事、プールで馬鹿笑いをする州知事と、他の映画ではなかなか味わえない州知事の姿を堪能できます, 185.766085
元々、ミッション・インポッシブル（邦題：スパイ大作戦）シリーズは、チームリーダー：フェルプス氏の元、ある技術に特化したメンバー達がチーム連携し、各々の特技を駆使して指令を秘密裏に遂行していくという、頭脳戦を主軸においたサスペンスドラマなのだが、トム・クルーズは、これをアクション・ドラマに仕立ててしまった, 169.554118
シュワルツェネッガーが元コマンドー部隊の隊長という役柄に比して、大して動けていない様な気もしますが、持ち前の膂力・愛嬌・顔面力から放たれる圧倒的存在感を前にしては、もはやリアリティなど何の意味も持たないというのもまた実感であり、画面に展開される事件と州知事のお言葉にただただ圧倒されるばかりでしたディレクターズカット版とオリジナル版の違いがわかりまんが、どれだけ家のシアターシステムが発達しようと、当時の映画館で観た感動には勝てません, 157.498085
本作のメインはもちろんアクションでありドラマは添え物という扱いなのですが、映画のテンポを邪魔することなくアクションの高揚感に貢献させるという、アクション映画にあるべきドラマ作りが完璧になされています, 141.018963
昔はもう少し面白かった気がするけど、こういうアクションは風化が早いね～トムクルーズ若いわトムさんは苦手なのですが、ドラマは幼少期に観てた覚えがあるので、愛着を持って鑑賞できた, 113.301888
サイボーグという設定すら必要ないと州知事の底知れぬ素質を見抜いたジョエル・シルバーはさすがの慧眼で、本作は頭から尻尾まで州知事の魅力満載です, 97.563081
最近の映画に多く見受けられる、CGの使いすぎによる、無機質な雰囲気は、映画の歴史において、別の意味である種の「退化」を感じることも少なくないが、当時として驚異のＣＧ技術を導入しながら、それに頼りすぎることなく、しっかりしたドラマ性とスリリングなアクション色のバランスを全編に渡って保ち続けるという、非常に優れた平衡感覚は賞賛に値する, 97.418721
脚色と思われる主人公二人の人間ドラマや際どいアクションシーンが実話感を薄めてしまっていますが、最後までしっかり緊迫感を味わえる映画でした, 94.804738
そして、この映画が成功し今なお人気シリーズとして続編が作り続けられている最たる要因は、やはりトム・クルーズの主演俳優として、またプロデューサーとしての存在感の大きさに尽きる, 91.888525
ジャン・レノの悪役が微妙に感じたけどみれたのでよしですパソコンのシーンはコントとかでよく覚えてるし数々のアクションシーンがどれも手に汗握る内容で気に入っています, 86.877924
トム・クルーズのおかげで男気溢れる汗臭いアクションにならずにスタイリッシュな仕上がりになっておりますです「新スパイ大作戦」が好きだったので見に行ったのだが、その良さを引き継ぎつつも新しいテイストで描かれていたのがよかった, 85.629709
自分も最近、ロードオブザリングを観た人間でこの作品ではオーランド・ブルームが気になっていたのだが、ジョニー・デップ演じるジャックがいい味を出し過ぎており、登場シーンから既にそっちばかり気になっていた, 85.553284
ベレッタは名機だねぇ～ アラン・リックマン・・・・・・先生役よりこっちの方が遥かに似合っていたよぉテレビシリーズにでていたＢウィリスのアクションと聞いて当時どうしても想像出来なかったのですが、おすぎが盛んに良い良いと言うんで騙されたつもりで観に行ったのを覚えています, 80.938058
アクションは明らかに２が勝っていますが、名シーンである宙ぶらりんシーンでもトムの格好よさが充分に生きています, 76.477323
続編はないのでしょうか・・・中学の時たまたまテレビで見て、エディにヤラレタ★それからスッゴイ何回も観て大好きな映画だと思い込んでたけど、ただエディが見たかっただけだったかも・・・ちょっと前ＵＳＪの３ＤのＴ２でエディを観てアレ, 75.326534
鉄道列車、車・パトカー、航空機・ヘリの三大輸送道具をフルに画面一杯、上から横から、下から望遠カメラ等駆使しスピード感、迫力、音響、等優れている, 75.210713
宙吊りのシーンと、列車アクションのシーンと、あとクレア役の人の顔のキレイさが印象に残った, 74.347694
30年ものキャリアにおいてひたすらアクション映画を撮り続け、主要な映画賞へのノミネート経験が一度もないというアクションバカがついに辿り着いた究極の作品, 73.304766
公開当時は、最新のアクション映画として、主演俳優の格好良さを含めてそれなりに満足はしたものの、スパイ映画としてのストーリーテリングにやや物足りなさを感じた, 70.373060
アクション・シーンが凄いのはもちろんだが、終末感や切迫感が見事に表現されている点もこの映画を傑作としている, 69.676226
その暴れっぷりについても、十数人の警官相手に格闘して余裕で勝ったり、車のシートをいとも簡単にもぎ取ったり、悪役を電話ボックスごと投げ飛ばしたりと、スタローンやヴァン・ダムでは成立しない、州知事だからこその見せ場が続きます, 69.509489
映像の迫力はありましたでも一番凄かったのは取材ヘリの超低空飛行での追跡だったようなｗあのヘリコプターのパイロットに救助作戦をさせれば良かったのにシンプルかつストレート直球勝負の単純明快なアクション作品, 66.599951
また、ジョニー・デップがこの役をやる必然性も感じられませんが、“that’s interesting”という台詞通り、彼自身がこの役を楽しんでいるのは良く判りました, 66.491169
終盤までは、最高のアクション映画で、それだけでも９点いくくらいの内容なのですが、更に、あの感動のラストシーン, 65.379874
実は最近になって初めてこの作品を観たんですけど（基本的にアクション大作とかはよく観る方ではないので）、公開当時多くの観客の度肝を抜いたＣＧに対しては、別になんとも思わなかったんですよ, 65.194273
おもろかった、そんだけ（笑）映画が気に入ったので、Ｔ２の１／２スケールのマスク（￥１９８００）、買う予定だけど、他にも買う人いる, 62.003158
こういうアクション映画でアクションだけでなく、たまにクスッと笑わせてくれるストーリー（脚本）がしっかりしている作品は珍しいのではないでしょうか, 61.371682
テンポがいいし、トムの役柄もあっちゃいるとおもうが、この人のアクションはどうも好きになれん, 60.473100
