単語, スコア
アクション, 22.907268
頃, 22.532131
アリス, 19.263565
子供, 19.242105
人生, 17.703817
友達, 16.094379
思い出, 14.484941
少年, 14.484941
時代, 14.447674
日本, 13.243701
キング, 12.875503
クローン, 12.875503
冒険, 12.039728
こと, 11.603465
コスナー, 11.266065
版, 10.995489
金, 10.835755
今, 10.727338
自分, 10.343573
主人, 10.079198
映画, 10.009249
感動, 9.705687
海, 9.656627
とき, 9.656627
ベイ, 9.656627
度, 9.631782
時, 9.162907
ディズニー, 8.427810
大人, 8.317766
鑑賞, 8.246617
何, 8.246617
中, 8.246617
世界, 8.173210
ケビン, 8.047190
ティム, 8.047190
バートン, 8.047190
仲間, 8.047190
それぞれ, 8.047190
作品, 8.033168
回, 7.624619
雰囲気, 7.330326
現在, 7.330326
曲, 7.223837
迫力, 7.223837
未来, 7.223837
名作, 7.223837
点, 7.133499
設定, 6.931472
年, 6.931472
１２, 6.437752
夏, 6.437752
リバー, 6.437752
友情, 6.437752
人間, 6.437752
音楽, 6.414035
ヒット, 6.414035
アメリカ, 6.414035
原作, 6.414035
監督, 6.238325
映像, 6.063474
最近, 6.019864
旅, 6.019864
涙, 6.019864
話, 5.545177
心, 5.545177
気持ち, 5.497744
昔, 5.497744
３, 5.497744
成長, 5.497744
ストーリー, 5.350124
意味, 5.108256
一, 4.993449
シーン, 4.909158
人, 4.909158
個人, 4.852030
ところ, 4.852030
後, 4.852030
制作, 4.828314
USJ, 4.828314
アトラクション, 4.828314
マックス, 4.828314
割, 4.828314
ベン, 4.828314
死体, 4.828314
一瞬, 4.828314
中学, 4.828314
小学, 4.828314
青春, 4.828314
マイケル, 4.828314
約束, 4.828314
施設, 4.828314
後半, 4.828314
ユアン, 4.828314
ライミ, 4.828314
レリゴー, 4.828314
オラフ, 4.828314
オープニング, 4.815891
道具, 4.815891
４, 4.815891
D, 4.815891
Ｄ, 4.815891
共感, 4.815891
今作, 4.815891
4, 4.815891
主題, 4.815891
言葉, 4.815891
歌, 4.815891
二, 4.815891
記憶, 4.815891
音響, 4.815891
ゲーム, 4.815891
ため, 4.636774
展開, 4.597431
まま, 4.581454
上, 4.581454
2, 4.581454
描写, 4.581454
ファン, 4.581454
内容, 4.581454
一緒, 4.581454
魅力, 4.280099
普通, 4.158883
ラスト, 4.158883
登場, 4.086605
事, 4.086605
気, 3.793440
部分, 3.665163
少女, 3.665163
好み, 3.665163
ほう, 3.665163
本作, 3.665163
あと, 3.665163
分, 3.665163
観客, 3.665163
不思議, 3.665163
演出, 3.665163
キャラクター, 3.665163
演技, 3.665163
必要, 3.665163
はず, 3.665163
満載, 3.665163
価値, 3.665163
劇場, 3.665163
ヒロイン, 3.611918
元気, 3.611918
SF, 3.611918
当時, 3.611918
予想, 3.611918
奴, 3.611918
実, 3.611918
ただ, 3.611918
テーマ, 3.611918
背景, 3.611918
テレビ, 3.611918
ドラマ, 3.611918
メッセージ, 3.611918
