単語, スコア
ヒーロー, 41.845386
家族, 24.953299
バートン, 24.141569
鳥, 22.532131
ピクサー, 22.532131
工場, 20.922693
ホラー, 19.313255
スーパー, 19.313255
チョコレート, 14.484941
ジョニー, 14.484941
子供, 13.792292
オカルト, 12.875503
デップ, 12.875503
節子, 12.039728
兄, 12.039728
アニメ, 11.911780
能力, 11.911780
リーガン, 11.266065
アクション, 11.266065
版, 11.266065
チョコ, 11.266065
当時, 11.090355
感, 10.995489
最後, 10.216512
愛, 9.704061
ヒッチコック, 9.656627
それぞれ, 9.656627
チャーリー, 9.656627
ティム, 9.656627
妹, 9.631782
清太, 9.631782
感動, 9.194861
傑作, 9.162907
以上, 9.162907
キャラクター, 9.162907
今, 8.702599
原作, 8.684036
父親, 8.427810
役, 8.317766
人間, 8.246617
母, 8.246617
父, 8.246617
個人, 8.246617
笑い, 8.246617
ストーリー, 8.173210
神父, 8.047190
三浦, 8.047190
友和, 8.047190
キャラ, 8.047190
活躍, 8.047190
フィッシュ, 8.047190
最高, 7.846849
シーン, 7.662384
点, 7.662384
伏線, 7.330326
男, 7.330326
部分, 7.330326
1, 7.330326
命, 7.223837
戦争, 7.223837
高畑, 7.223837
思考, 7.223837
反戦, 7.223837
ブレア, 7.223837
パワー, 7.223837
度, 7.151559
自分, 7.133499
作品, 6.953794
事, 6.931472
車, 6.437752
リンダ, 6.437752
バリアー, 6.437752
安心, 6.437752
イラ, 6.437752
スティ, 6.437752
ガール, 6.437752
吹替え, 6.437752
ダッシュ, 6.437752
マン, 6.437752
ジャック, 6.437752
インク, 6.437752
場面, 6.437752
ウォンカ, 6.437752
技術, 6.414035
本当, 6.129907
印象, 6.019864
コメディ, 6.019864
エンド, 6.019864
ファンタジー, 6.019864
他, 6.019864
笑, 6.019864
表現, 6.019864
心, 5.619082
話, 5.619082
あと, 5.497744
設定, 5.497744
前, 5.497744
別, 5.497744
ＣＧ, 5.497744
全体, 5.497744
俳優, 5.497744
話題, 5.497744
声優, 5.497744
冷静, 5.497744
期待, 5.355445
１, 5.108256
気持ち, 5.108256
大人, 5.108256
年, 4.993449
日本, 4.909158
後半, 4.852030
センス, 4.852030
テレビ, 4.852030
とき, 4.852030
時代, 4.852030
方, 4.852030
メラニー, 4.828314
力, 4.828314
ヴァイオレット, 4.828314
カット, 4.828314
シンドローム, 4.828314
黒木, 4.828314
瞳, 4.828314
必要, 4.828314
レディ, 4.828314
ブル, 4.828314
髪, 4.828314
実写, 4.828314
金, 4.828314
雰囲気, 4.828314
ウンパルンパ, 4.828314
前作, 4.828314
曲, 4.828314
チケット, 4.828314
ファン, 4.828314
夢, 4.828314
友達, 4.828314
母親, 4.815891
女, 4.815891
モノ, 4.815891
公開, 4.815891
ジブリ, 4.815891
野坂, 4.815891
感謝, 4.815891
結果, 4.815891
立場, 4.815891
植民, 4.815891
地, 4.815891
ハリウッド, 4.815891
語, 4.815891
予想, 4.815891
満足, 4.815891
テンポ, 4.815891
家庭, 4.815891
感じ, 4.815891
子, 4.815891
気分, 4.815891
役者, 4.815891
リアル, 4.636774
ラスト, 4.597431
ほう, 4.597431
まま, 4.581454
観客, 4.581454
頃, 4.581454
国民, 4.581454
行動, 4.581454
テーマ, 4.581454
二人, 4.581454
絵, 4.581454
日, 4.581454
生活, 4.581454
個性, 4.581454
ため, 4.280099
一, 4.239727
展開, 4.158883
ヒット, 4.158883
物, 4.158883
演技, 4.086605
評価, 4.086605
内容, 3.923424
人, 3.923424
3, 3.665163
インパクト, 3.665163
先生, 3.665163
心理, 3.665163
リメイク, 3.665163
満載, 3.665163
最初, 3.665163
精神, 3.665163
本作, 3.665163
子ども, 3.665163
完璧, 3.665163
メッセージ, 3.665163
者, 3.665163
発揮, 3.665163
想像, 3.665163
みんな, 3.665163
クレジット, 3.611918
数, 3.611918
９, 3.611918
娘, 3.611918
感情, 3.611918
脚本, 3.611918
名作, 3.611918
理由, 3.611918
コンビ, 3.611918
実際, 3.611918
感心, 3.611918
好み, 3.611918
シリーズ, 3.611918
造形, 3.611918
昔, 3.611918
CG, 3.611918
登場, 3.611918
賞賛, 3.611918
久々, 3.611918
完成, 3.611918
上, 3.611918
ロール, 3.611918
画面, 3.611918
せい, 3.611918
確認, 3.611918
円, 3.611918
物語, 3.575779
音楽, 3.575779
後, 3.575779
一緒, 3.575779
演出, 3.575779
ところ, 3.570297
鑑賞, 3.465736
先, 3.465736
今回, 3.465736
描写, 3.465736
わけ, 3.465736
あたり, 3.465736
手, 3.465736
時, 3.465736
もの, 3.371537
監督, 3.347153
ヒロイン, 3.218876
女優, 3.218876
運転, 3.218876
プロセス, 3.218876
ＯＫ, 3.218876
普通, 3.218876
表情, 3.218876
無機, 3.218876
特撮, 3.218876
解決, 3.218876
フリードキン, 3.218876
３０, 3.218876
メイン, 3.218876
フォン, 3.218876
階段, 3.218876
エクソシスト, 3.218876
品格, 3.218876
状況, 3.218876
成長, 3.218876
ツボ, 3.218876
プラス, 3.218876
かっこ, 3.218876
仮面, 3.218876
興奮, 3.218876
役割, 3.218876
構成, 3.218876
夫人, 3.218876
DVD, 3.218876
ファミリー, 3.218876
スパイダー, 3.218876
奥, 3.218876
像, 3.218876
人々, 3.218876
夫, 3.218876
疑問, 3.218876
アイテム, 3.218876
試写, 3.218876
セリフ, 3.218876
怪力, 3.218876
正統, 3.218876
違和, 3.218876
悪, 3.218876
夫婦, 3.218876
過去, 3.218876
問題, 3.218876
理屈, 3.218876
誕生, 3.218876
少年, 3.218876
バック, 3.218876
献上, 3.218876
所々, 3.218876
親子, 3.218876
セット, 3.218876
抹殺, 3.218876
ブラック, 3.218876
