threshold,precision,recall,f1
0,0.538829152,1,0.700310559
0.05,0.549004594,0.794900222,0.649456522
0.1,0.548659004,0.793791574,0.648844585
0.15,0.546887313,0.76940133,0.639336711
0.2,0.546887313,0.76940133,0.639336711
0.25,0.550207469,0.735033259,0.629330802
0.3,0.546583851,0.682926829,0.607195663
0.35,0.545777778,0.680709534,0.605821411
0.4,0.545777778,0.680709534,0.605821411
0.45,0.55661275,0.648558758,0.599078341
0.5,0.555449331,0.644124169,0.59650924
0.55,0.557939914,0.576496674,0.567066521
0.6,0.569811321,0.502217295,0.533883324
0.65,0.569811321,0.502217295,0.533883324
0.7,0.587542088,0.38691796,0.46657754
0.75,0.587542088,0.38691796,0.46657754
0.8,0.603481625,0.345898004,0.4397463
0.85,0.622137405,0.180709534,0.280068729
0.9,0.622137405,0.180709534,0.280068729
0.95,0.6,0.043237251,0.080661841
1,0.6,0.043237251,0.080661841
,0.569099024,0.540386443,0.507154174
